symbol,price,price_change,price_percent_change
JTAI,6.03,3.45,133.72
WRD,31.5,14.33,83.46
INLF,16.33,7.32,81.24
FORA,3.59,0.83,30.07
BZAI,5.15,1.15,28.75
UDMY,10.01,2.19,28.01
TCX,19.15,4.02,26.57
RXRX,10.53,2.03,23.88
RCEL,10.57,1.79,20.39
KC,20.81,3.46,19.94
MDCX,3.68,0.6,19.48
ASYS,5.84,0.94,19.18
YOSH,13.81,2.21,19.05
OPRT,7.57,1.17,18.28
NUS,7.56,1.14,17.76
GT,9.58,1.41,17.26
PCOR,87.5,12.4,16.51
ABSI,5.82,0.82,16.4
MBX,10.41,1.42,15.8
ZH,5.32,0.72,15.65
NISN,9.02,1.22,15.64
KDLY,2.89,0.39,15.6
APLD,9.11,1.2,15.17
DKNG,53.49,7.04,15.16
JL,4.41,0.57,14.84
ABNB,161.42,20.38,14.45
MATH,2.7,0.34,14.41
MindMed,9.89,1.24,14.34
CRSP,49.72,6.23,14.33
ROKU,99.07,12.27,14.14
CAE,26.78,3.27,13.91
QUIK,8.25,1.0,13.79
BCTX,4.35,0.52,13.58
SMCI,47.91,5.63,13.32
BEAM,32.4,3.79,13.25
SJT,4.84,0.56,13.08
XNET,3.55,0.41,13.06
FSI,7.21,0.83,13.01
GCL,3.05,0.35,12.93
ALGS,23.67,2.66,12.66
SANA,3.16,0.35,12.46
NVCT,7.8,0.85,12.23
SEPN,12.96,1.41,12.21
STIM,4.36,0.46,11.79
SAIL,24.55,2.55,11.59
OPAD,2.45,0.25,11.36
PONY,16.54,1.68,11.31
VERV,8.58,0.87,11.28
SPCB,10.68,1.08,11.25
ELME,17.23,1.74,11.23
PROP,8.75,0.88,11.18
FLYX,3.72,0.37,11.04
NTLA,10.7,1.06,11.0
CPIX,5.15,0.51,10.99
BILI,21.99,2.17,10.95
CYTK,46.16,4.54,10.91
ARTV,4.44,0.43,10.72
AQMS,2.24,0.21,10.62
TSSI,15.74,1.51,10.61
BBIO,34.9,3.34,10.58
ALTS,6.9,0.66,10.58
COUR,8.85,0.84,10.49
PSNL,5.51,0.52,10.42
WYNN,88.82,8.35,10.38
SEDG,16.36,1.51,10.17
QD,3.28,0.3,10.07
ANAB,21.22,1.93,10.01
ARCT,18.05,1.64,9.99
HIMX,10.88,0.96,9.68
KAI,388.46,34.27,9.68
GMM,4.49,0.39,9.51
PRME,2.84,0.24,9.44
MGRX,4.84,0.41,9.26
SER,5.09,0.43,9.23
NEOV,3.33,0.28,9.18
MSW,3.81,0.32,9.17
KLG,19.76,1.65,9.11
MLCO,6.27,0.52,9.04
