symbol,price,price_change,price_percent_change
WTF,15.75,11.75,293.75
NMAX,236.96,153.45,183.75
ICCT,4.95,2.71,120.98
GATE,36.05,16.44,83.83
QSG,6.29,2.27,56.55
NUTX,70.64,23.61,50.21
SONM,3.04,0.9,41.82
LXEH,26.68,7.31,37.74
CRWV,49.14,12.06,32.54
LSE,5.91,1.43,31.92
CSAI,5.72,1.28,28.9
NXU,3.42,0.75,28.09
LICN,4.75,0.9,23.38
PVH,76.66,12.02,18.6
HSAI,17.32,2.52,17.06
ALMS,7.14,0.99,16.21
HUT,13.23,1.61,13.86
EHLD,5.43,0.65,13.65
APLM,7.0,0.8,12.9
ENGS,5.06,0.56,12.44
ALTS,4.36,0.48,12.37
ZYXI,2.47,0.27,12.27
CLSK,7.54,0.81,12.13
ELVA,2.59,0.28,12.12
JVA,3.97,0.42,11.83
PRGS,57.52,6.01,11.67
AARD,8.35,0.83,11.12
PN,3.85,0.38,10.95
RUN,6.49,0.63,10.83
NUKK,13.16,1.27,10.68
CRVO,10.11,0.96,10.49
VTSI,4.49,0.42,10.32
CLPT,13.12,1.23,10.3
OZ,71.01,6.51,10.09
USAR,6.53,0.59,9.93
TRVG,4.5,0.4,9.75
CORZ,7.94,0.69,9.6
NOTV,2.42,0.21,9.5
LGPS,3.24,0.28,9.46
BTMD,3.64,0.3,9.16
AIRJ,5.03,0.41,9.0
OCG,3.15,0.26,9.0
UPB,6.66,0.54,8.86
PRTH,7.41,0.59,8.73
IREN,6.62,0.53,8.7
SURG,2.25,0.18,8.69
KNOP,7.58,0.6,8.6
RCAT,6.38,0.5,8.5
BNGO,3.02,0.23,8.42
XGN,3.89,0.3,8.36
QVCGB,7.19,0.55,8.28
SNBR,6.86,0.53,8.28
CIFR,2.49,0.19,8.26
XELB,3.05,0.23,8.16
BE,21.24,1.57,8.01
BLUE,5.27,0.39,8.01
RUM,7.64,0.56,7.99
ICCC,5.17,0.38,7.93
MNDY,261.5,18.34,7.54
FWRG,17.9,1.25,7.51
MNTK,2.24,0.15,7.42
BLMN,7.68,0.51,7.04
LFVN,15.59,1.01,6.93
NPCE,13.14,0.85,6.92
MXL,11.61,0.75,6.91
NBIS,22.55,1.44,6.82
SKBL,11.14,0.71,6.81
APP,282.97,18.0,6.79
APLD,5.99,0.37,6.67
RIVN,13.28,0.82,6.63
AEHR,7.78,0.48,6.65
Holdings,65.49,4.0,6.51
China,16.0,0.95,6.35
BLND,3.56,0.21,6.27
BBW,39.48,2.31,6.22
DSP,13.17,0.76,6.12
CBRL,41.18,2.35,6.07
DAKT,12.92,0.73,6.03
WHLR,3.35,0.19,6.01
HIMS,31.32,1.77,5.99
ACDC,8.04,0.45,5.93
KGEI,8.88,0.49,5.84
RIOT,7.54,0.42,5.83
ENIC,3.46,0.19,5.81
GNE,15.92,0.87,5.78
YRD,7.27,0.39,5.67
DUOL,328.12,17.58,5.66
ZIM,15.41,0.82,5.62
ZIP,6.22,0.33,5.6
EOSE,3.98,0.2,5.42
QXO,14.26,0.72,5.35
DOOO,35.61,1.8,5.32
OS,22.48,1.14,5.32
EWCZ,4.16,0.21,5.32
ACTG,3.37,0.17,5.31
CGNT,8.21,0.41,5.26
BTBT,2.12,0.1,5.2
BZAI,2.12,0.1,5.2
IONQ,23.21,1.14,5.17
MDCX,3.91,0.19,5.11
