symbol,price,price_change,price_percent_change
PVH,76.43,11.79,18.24
HSAI,17.43,2.63,17.77
CLSK,7.56,0.84,12.50
PRGS,57.76,6.25,12.13
CORZ,8.0,0.76,10.50
AUOTY,5.05,0.44,9.54
RUM,7.7,0.63,8.91
WNS,66.59,5.1,8.29
BRPHF,11.39,0.85,8.06
BE,21.24,1.58,8.04
MNDY,262.18,19.02,7.82
NBIS,22.69,1.58,7.48
HCM,16.06,1.02,6.78
FMCC,5.71,0.36,6.73
APP,282.7,17.73,6.69
RIVN,13.28,0.83,6.67
OS,22.68,1.34,6.28
MSTR,306.02,17.75,6.16
RIOT,7.54,0.42,5.90
DOOO,35.75,1.94,5.74
CRZBY,24.09,1.29,5.66
DSNKY,25.08,1.3,5.47
DUOL,327.38,16.84,5.42
ASAN,15.31,0.74,5.08
AEO,12.21,0.59,5.08
IONQ,23.19,1.12,5.07
LEVI,16.38,0.79,5.07
HIMS,31.05,1.5,5.08
FINV,10.11,0.48,4.98
RDDT,110.05,5.15,4.91
WING,236.4,10.82,4.80
QXO,14.18,0.64,4.73
RBLX,60.99,2.7,4.63
VIV,9.13,0.41,4.70
EGO,17.6,0.78,4.64
COOP,125.08,5.48,4.58
MOD,80.26,3.51,4.57
IBKR,173.08,7.49,4.52
CAKE,50.86,2.2,4.52
FNMA,6.61,0.28,4.42
TEO,10.64,0.45,4.42
KAR,20.13,0.85,4.41
RKT,12.6,0.53,4.39
TTD,57.1,2.38,4.35
VRT,75.27,3.07,4.25
IAC,39.26,1.6,4.24
PAY,27.2,1.1,4.21
ALGM,26.18,1.05,4.18
OKLO,22.53,0.9,4.16
VST,122.24,4.8,4.09
ODD,45.02,1.76,4.07
BPYPP,14.16,0.55,4.04
VCTR,60.17,2.3,3.97
ALAB,62.01,2.34,3.92
TLN,207.44,7.77,3.89
CRDO,41.72,1.56,3.88
TKAMY,10.74,0.4,3.87
RUSHA,55.44,2.03,3.80
ESAB,120.9,4.4,3.78
AKO-B,22.98,0.83,3.75
VFC,16.1,0.58,3.74
FNMAS,12.24,0.44,3.73
RL,228.92,8.18,3.71
APLS,22.68,0.81,3.70
DJT,20.26,0.72,3.68
ACIW,56.7,1.99,3.64
TSLA,268.46,9.3,3.59
MNSO,19.15,0.66,3.57
TPR,72.89,2.48,3.52
VAL,40.64,1.38,3.52
ENVA,99.92,3.36,3.48
RBC,332.93,11.16,3.47
RUSHB,58.48,1.96,3.47
ZETA,14.03,0.47,3.47
BAP,192.54,6.38,3.43
SYM,20.9,0.69,3.41
GEV,315.64,10.36,3.39
RYCEY,10.14,0.33,3.36
GRND,18.5,0.6,3.35
AIBGY,13.27,0.43,3.35
NTES,106.35,3.43,3.33
BOOT,111.0,3.57,3.32
TOST,34.26,1.09,3.29
CVLT,162.94,5.18,3.28
POWL,175.89,5.56,3.26
USLM,91.25,2.87,3.25
PDD,122.19,3.84,3.24
SPNT,17.85,0.56,3.24
DLO,8.61,0.27,3.24
DAR,32.25,1.01,3.23
NRG,98.53,3.07,3.22
PPC,56.26,1.75,3.21
SHAK,91.0,2.83,3.21
NE,24.46,0.76,3.21
ZLAB,37.29,1.15,3.18
HNHPF,9.08,0.28,3.18
STEP,53.89,1.66,3.18
ANF,78.77,2.4,3.14
MP,25.17,0.76,3.11
BCO,88.83,2.67,3.10
U,20.19,0.6,3.06
VERX,36.08,1.07,3.06
YELP,38.16,1.13,3.05
CRC,45.31,1.34,3.05
CYBR,348.26,10.26,3.04
GFI,22.76,0.67,3.03
LYFT,12.23,0.36,3.03
CQP,68.04,2.0,3.03
