Unnamed: 0,Volume,Last,Chg,% Chg
iCoreConnect Inc. (ICCT),132.2M,4.78,2.71,130.92
Tivic Health Systems Inc. (TIVC),32.0M,4.65,1.4,43.07
Creative Global Technology Holdings Ltd. (CGTL),729.2K,5.39,1.24,29.88
Alaunos Therapeutics Inc. (TCRT),1.9M,3.51,0.71,25.36
Old Point Financial Corp. (OPOF),175.0K,36.31,6.4,21.4
Click Holdings Ltd. (CLIK),172.2K,2.69,0.36,15.45
Goodyear Tire & Rubber Co. (GT),12.7M,10.46,1.33,14.64
Skyline Builders Group Holding Ltd. Cl A (SKBL),860.8K,11.61,1.25,12.07
BingEx Ltd. ADR (FLX),111.3K,2.5,0.26,11.36
Lamb Weston Holdings Inc. (LW),5.0M,59.64,5.5,10.15
LZ Technology Holdings Ltd. Cl B (LZMH),181.7K,7.85,0.69,9.63
Medicus Pharma Ltd. (MDCX),62.8K,3.71,0.31,9.12
Corp. Inmobiliaria Vesta S.A.B. de C.V. ADR (VTMX),122.9K,24.78,1.98,8.68
Molina Healthcare Inc. (MOH),749.1K,356.38,27.89,8.49
Nyxoah S.A. (NYXH),168.2K,7.05,0.55,8.46
Junee Ltd. (JUNE),86.3K,11.65,0.84,7.77
Baird Medical Investment Holdings Ltd. (BDMD),55.5K,5.92,0.42,7.64
Collective Mining Ltd. (CNL),98.7K,9.67,0.59,6.5
Algorhythm Holdings Inc. (RIME),95.9K,2.26,0.14,6.37
POET Technologies Inc. (POET),935.9K,4.1,0.24,6.22
Regencell Bioscience Holdings Ltd. (RGC),55.1K,24.99,1.46,6.2
Aditxt Inc. (ADTX),90.8K,5.3,0.3,6.0
National Grid PLC ADR (NGG),653.8K,69.45,3.67,5.58
StoneCo Ltd. Cl A (STNE),4.4M,11.32,0.58,5.45
Centene Corp. (CNC),2.7M,63.92,3.19,5.25
Alignment Healthcare Inc. (ALHC),909.1K,18.76,0.91,5.1
Unilever PLC ADR (UL),3.6M,62.82,2.96,4.94
Dollar General Corp. (DG),5.7M,94.6,4.41,4.88
Telefonica S.A. ADR (TEF),795.4K,4.9,0.23,4.85
Newsmax Inc. Cl B (NMAX),4.2M,55.0,2.48,4.72
American Water Works Co. (AWK),1.3M,153.0,6.81,4.66
