symbol,price,price_change,price_percent_change
CYTK,41.72,4.22,11.27
RGTI,8.58,0.77,9.87
SWTX,45.95,4.07,9.72
AMTM,19.68,1.81,10.13
RKT,13.78,1.18,9.36
IONQ,25.32,2.13,9.18
RNA,29.08,2.34,8.75
NFE,8.27,0.69,9.10
ACLX,65.54,4.84,7.97
TGTX,41.1,3.35,8.90
SOUN,8.81,0.61,7.46
SLNO,73.15,4.89,7.16
COOP,134.42,9.34,7.47
CACI,395.92,26.02,7.04
FIVE,81.58,5.1,6.67
VKTX,25.5,1.59,6.65
UWMC,5.68,0.34,6.26
LITE,67.7,4.11,6.46
CIEN,65.54,4.0,6.50
LOAR,75.75,4.42,6.19
COHR,67.92,4.22,6.62
MRX,37.88,2.19,6.15
GRFS,7.38,0.41,5.96
IMVT,16.19,0.99,6.52
ACVA,15.37,0.9,6.22
ASTS,23.15,1.3,5.95
PSN,62.96,3.4,5.71
CLF,8.56,0.46,5.65
CVNA,225.03,12.44,5.85
NBIS,23.97,1.28,5.64
AUR,7.09,0.36,5.33
BAH,113.22,5.86,5.46
AKRO,40.61,1.97,5.10
SHAK,95.72,4.72,5.19
CRDO,43.95,2.23,5.34
MRNA,28.58,1.42,5.23
GAP,22.28,1.07,5.02
MLTX,38.17,1.82,4.99
KBR,52.59,2.66,5.33
TMDX,71.87,3.6,5.27
MOD,84.57,4.31,5.38
MARA,12.45,0.61,5.20
ILMN,82.15,3.76,4.80
RBRK,63.46,2.99,4.94
SYM,22.0,1.1,5.26
LKNCY,37.3,1.66,4.65
HBI,6.0,0.27,4.67
ELF,67.19,2.94,4.58
RKLB,19.07,0.92,5.04
TSLA,280.78,12.32,4.59
APGE,37.22,1.6,4.51
MDGL,338.52,14.54,4.49
RRX,119.86,5.14,4.48
ANF,82.38,3.61,4.58
AFRM,47.67,2.16,4.75
SRRK,31.42,1.36,4.52
IESC,176.11,7.25,4.29
LNW,91.63,3.76,4.28
LDOS,140.79,5.82,4.32
EQH,54.6,2.31,4.42
CZR,25.93,1.1,4.43
RH,249.79,10.74,4.49
RIOT,7.88,0.34,4.44
KC,14.43,0.57,4.11
KTOS,30.56,1.26,4.30
CLSK,7.89,0.34,4.43
GDS,26.23,1.02,4.05
MRUS,41.27,1.67,4.22
WSM,165.19,6.32,3.98
SATS,26.23,1.04,4.13
SMG,56.96,2.19,3.99
MMS,71.37,2.69,3.92
SN,87.75,3.55,4.22
CELH,37.15,1.42,3.96
BPMC,89.26,3.32,3.86
AS,27.92,1.11,4.14
DASH,189.66,7.24,3.97
ACHR,7.26,0.3,4.24
UI,322.59,11.62,3.74
COIN,181.07,6.55,3.76
ALAB,64.64,2.63,4.24
SAIC,117.57,4.26,3.76
CRK,21.11,0.76,3.73
LYFT,12.71,0.48,3.93
GEV,327.5,11.86,3.76
RXRX,5.28,0.19,3.63
PFSI,103.61,3.6,3.60
CLS,82.07,3.01,3.80
DECK,117.42,4.07,3.59
TEX,39.43,1.36,3.57
XENE,31.77,1.13,3.69
UAA,6.58,0.23,3.62
AVAV,126.3,4.51,3.70
CLBT,19.91,0.66,3.43
DLTR,77.97,2.63,3.49
WGS,87.57,2.98,3.52
SMTC,36.12,1.26,3.61
MIRM,45.64,1.6,3.63
BZLFY,19.54,0.65,3.44
KMX,81.53,2.65,3.36
DKNG,34.39,1.2,3.62
SAIA,368.98,14.21,4.03
CRSP,34.29,1.15,3.47
IONS,28.21,0.95,3.48
TEM,48.8,1.58,3.35
MEDP,308.22,10.49,3.52
AIR,57.19,1.82,3.28
EXAS,44.85,1.4,3.21
DRVN,17.28,0.55,3.26
UPST,47.51,1.51,3.28
TTEK,30.55,1.0,3.38
MIR,14.81,0.46,3.24
WPP,37.42,1.2,3.31
PTGX,48.44,1.56,3.33
INSP,163.12,5.14,3.25
VRNA,60.5,1.96,3.35
URBN,54.85,1.78,3.35
SMMT,19.43,0.63,3.35
ZETA,14.48,0.45,3.17
FLUT,230.18,7.36,3.31
TEAM,223.02,6.61,3.06
PRKS,47.01,1.48,3.24
WSC,28.38,0.9,3.28
LEGN,32.59,1.07,3.39
KRYS,180.01,5.43,3.11
ORCL,146.52,4.58,3.23
TAL,13.57,0.39,2.92
NEXT,7.92,0.24,3.13
FIX,340.29,10.29,3.12
ODD,46.72,1.7,3.78
UA,6.29,0.19,3.12
QXO,14.6,0.42,2.96
OMF,50.55,1.48,3.02
