,Unnamed: 0,Volume,Last,Chg,% Chg
0,Jet.AI Inc. (JTAI),104.5M,6.03,3.45,133.72
1,WeRide Inc. ADR (WRD),21.1M,31.5,14.33,83.46
2,INLIF Ltd. (INLF),7.7M,16.33,7.32,81.24
3,Forian Inc. (FORA),155.1K,3.59,0.83,30.07
4,Blaize Holdings Inc. (BZAI),4.2M,5.15,1.15,28.75
5,Udemy Inc. (UDMY),7.0M,10.01,2.19,28.01
6,Tucows Inc. (TCX),225.0K,19.15,4.02,26.57
7,Recursion Pharmaceuticals Inc. (RXRX),83.5M,10.53,2.03,23.88
8,Avita Medical Inc. (RCEL),952.3K,10.57,1.79,20.39
9,Kingsoft Cloud Holdings Ltd. ADR (KC),7.6M,20.81,3.46,19.94
10,Medicus Pharma Ltd. (MDCX),62.5K,3.68,0.6,19.48
11,Amtech Systems Inc. (ASYS),208.4K,5.84,0.94,19.18
12,Yoshiharu Global Co. (YOSH),168.3K,13.81,2.21,19.05
13,Oportun Financial Corp. (OPRT),1.7M,7.57,1.17,18.28
14,Nu Skin Enterprises Inc. Cl A (NUS),3.6M,7.56,1.14,17.76
15,Goodyear Tire & Rubber Co. (GT),21.7M,9.58,1.41,17.26
16,Procore Technologies Inc. (PCOR),4.6M,87.5,12.4,16.51
17,Absci Corp. (ABSI),9.9M,5.82,0.82,16.4
18,MBX Biosciences Inc. (MBX),243.0K,10.41,1.42,15.8
19,Zhihu Inc. ADR (ZH),4.1M,5.32,0.72,15.65
20,NiSun International Enterprise Development Group Co. Ltd. (NISN),135.3K,9.02,1.22,15.64
21,Kindly MD Inc. (KDLY),31.2M,2.89,0.39,15.6
22,Applied Digital Corp. (APLD),43.2M,9.11,1.2,15.17
23,DraftKings Inc. Cl A (DKNG),48.3M,53.49,7.04,15.16
24,J-Long Group Ltd. (JL),79.0K,4.41,0.57,14.84
25,Airbnb Inc. Cl A (ABNB),21.6M,161.42,20.38,14.45
26,Metalpha Technology Holding Ltd. (MATH),856.3K,2.7,0.34,14.41
27,Mind Medicine (MindMed) Inc. (MNMD),9.1M,9.89,1.24,14.34
28,CRISPR Therapeutics AG (CRSP),7.7M,49.72,6.23,14.33
29,Roku Inc. Cl A (ROKU),18.5M,99.07,12.27,14.14
30,CAE Inc. (CAE),1.9M,26.78,3.27,13.91
31,QuickLogic Corp. (QUIK),582.4K,8.25,1.0,13.79
32,BriaCell Therapeutics Corp. (BCTX),287.0K,4.35,0.52,13.58
33,Super Micro Computer Inc. (SMCI),133.6M,47.91,5.63,13.32
34,Beam Therapeutics Inc. (BEAM),3.4M,32.4,3.79,13.25
