symbol,price,price_change,price_percent_change
PLTR,102.91 +19.17 (+22.90%),19.17,+22.90%
GRAB,5.12 +0.58 (+12.78%),0.58,+12.78%
SPOT,613.95 +64.87 (+11.81%),64.87,+11.81%
IFNNY,35.70 +3.72 (+11.63%),3.72,+11.63%
SOUN,15.84 +1.60 (+11.24%),1.6,+11.24%
MP,24.59 +2.36 (+10.63%),2.36,+10.63%
DASTY,42.06 +3.58 (+9.30%),3.58,+9.30%
CLS,132.09 +11.21 (+9.27%),11.21,+9.27%
FQVLF,13.20 +1.08 (+8.91%),1.08,+8.91%
XPEV,17.05 +1.36 (+8.64%),1.36,+8.64%
PBF,30.05 +2.33 (+8.41%),2.33,+8.41%
PDD,113.95 +8.71 (+8.28%),8.71,+8.28%
SWTX,38.85 +3.03 (+8.45%),3.03,+8.45%
ATI,62.61 +4.65 (+8.02%),4.65,+8.02%
LANC,179.35 +12.85 (+7.71%),12.85,+7.71%
AXTA,37.80 +2.69 (+7.66%),2.69,+7.66%
PAGS,7.84 +0.55 (+7.48%),0.55,+7.48%
SMCI,28.87 +2.02 (+7.51%),2.02,+7.51%
AVAV,185.00 +12.02 (+6.95%),12.02,+6.95%
RMBS,64.90 +4.55 (+7.54%),4.55,+7.54%
FRO,18.80 +1.25 (+7.12%),1.25,+7.12%
DINO,37.99 +2.42 (+6.80%),2.42,+6.80%
STNE,9.47 +0.58 (+6.52%),0.58,+6.52%
RACE,457.77 +28.83 (+6.72%),28.83,+6.72%
VIPS,14.81 +0.92 (+6.66%),0.92,+6.66%
ASH,64.94 +4.06 (+6.66%),4.06,+6.66%
SUPN,39.81 +2.45 (+6.56%),2.45,+6.56%
CLF,10.41 +0.67 (+6.88%),0.67,+6.88%
PJT,176.23 +10.90 (+6.59%),10.9,+6.59%
PCRHY,10.57 +0.67 (+6.77%),0.67,+6.77%
MPC,156.05 +9.05 (+6.16%),9.05,+6.16%
FNMAT,10.73 +0.64 (+6.34%),0.64,+6.34%
LI,24.30 +1.42 (+6.18%),1.42,+6.18%
